"Energiedragers","Perioden","Totaal aanbod","Winning","Invoer","Uitvoer","Invoersaldo","Bunkering","Energieaanbod/Voorraadmutatie (PJ)","Statistische verschillen (PJ)","Totaal energieverbruik","Energieomzetting/Inzet energie voor omzetting/Totaal inzet (PJ)","Energieomzetting/Inzet energie voor omzetting/Inzet elektriciteit/WKK-omzetting (PJ)","Energieomzetting/Inzet energie voor omzetting/Inzet andere omzetting (PJ)","Energieomzetting/Productie energie uit omzetting/Totaal productie (PJ)","Energieomzetting/Productie energie uit omzetting/Productie elektriciteit/WKK-omzetting (PJ)","Energieomzetting/Productie energie uit omzetting/Productie andere omzetting (PJ)","Energieomzetting/Saldo inzet-productie energie/Totaal saldo energieomzetting (PJ)","Energieomzetting/Saldo inzet-productie energie/Saldo elektriciteit/WKK-omzetting (PJ)","Energieomzetting/Saldo inzet-productie energie/Saldo andere omzetting (PJ)","Eigen verbruik energiesector/Totaal (PJ)","Eigen verbruik energiesector/Olie- en gaswinning (PJ)","Eigen verbruik energiesector/Cokesfabrieken (PJ)","Eigen verbruik energiesector/Raffinaderijen (PJ)","Eigen verbruik energiesector/Totaal energiebedrijven (PJ)","Verliezen bij distributie (PJ)","Finaal verbruik/Totaal finaal verbruik (PJ)","Finaal verbruik/Finaal energieverbruik/Totaal (PJ)","Finaal verbruik/Finaal energieverbruik/Nijverheid (exclusief de energiesector)/Totaal (PJ)","Finaal verbruik/Finaal energieverbruik/Nijverheid (exclusief de energiesector)/IJzer- en staalindustrie (PJ)","Finaal verbruik/Finaal energieverbruik/Nijverheid (exclusief de energiesector)/Chemie en farmaceutische industrie (PJ)","Finaal verbruik/Finaal energieverbruik/Nijverheid (exclusief de energiesector)/Non-ferrometalenindustrie (PJ)","Finaal verbruik/Finaal energieverbruik/Nijverheid (exclusief de energiesector)/Bouwmaterialenindustrie (PJ)","Finaal verbruik/Finaal energieverbruik/Nijverheid (exclusief de energiesector)/Transportmiddelenindustrie (PJ)","Finaal verbruik/Finaal energieverbruik/Nijverheid (exclusief de energiesector)/Metaalproducten en machine-industrie (PJ)","Finaal verbruik/Finaal energieverbruik/Nijverheid (exclusief de energiesector)/Delfstoffenwinning (geen olie en gas) (PJ)","Finaal verbruik/Finaal energieverbruik/Nijverheid (exclusief de energiesector)/Voedings- en genotmiddelenindustrie (PJ)","Finaal verbruik/Finaal energieverbruik/Nijverheid (exclusief de energiesector)/Papier- en grafische industrie (PJ)","Finaal verbruik/Finaal energieverbruik/Nijverheid (exclusief de energiesector)/Houtindustrie (PJ)","Finaal verbruik/Finaal energieverbruik/Nijverheid (exclusief de energiesector)/Bouwnijverheid (PJ)","Finaal verbruik/Finaal energieverbruik/Nijverheid (exclusief de energiesector)/Textiel-, kleding- en lederindustrie (PJ)","Finaal verbruik/Finaal energieverbruik/Nijverheid (exclusief de energiesector)/Onbekend (PJ)","Finaal verbruik/Finaal energieverbruik/Vervoer/Totaal (PJ)","Finaal verbruik/Finaal energieverbruik/Vervoer/Binnenlandse luchtvaart (PJ)","Finaal verbruik/Finaal energieverbruik/Vervoer/Wegverkeer (PJ)","Finaal verbruik/Finaal energieverbruik/Vervoer/Railverkeer (PJ)","Finaal verbruik/Finaal energieverbruik/Vervoer/Pijpleidingen (PJ)","Finaal verbruik/Finaal energieverbruik/Vervoer/Binnenlandse scheepvaart (PJ)","Finaal verbruik/Finaal energieverbruik/Vervoer/Onbekend (PJ)","Finaal verbruik/Finaal energieverbruik/Overige afnemers/Totaal (PJ)","Finaal verbruik/Finaal energieverbruik/Overige afnemers/Diensten, afval, water en reparatie (PJ)","Finaal verbruik/Finaal energieverbruik/Overige afnemers/Woningen (PJ)","Finaal verbruik/Finaal energieverbruik/Overige afnemers/Landbouw (PJ)","Finaal verbruik/Finaal energieverbruik/Overige afnemers/Visserij (PJ)","Finaal verbruik/Finaal energieverbruik/Overige afnemers/Onbekend (PJ)","Finaal verbruik/Niet-energetisch gebruik/Totaal (PJ)","Finaal verbruik/Niet-energetisch gebruik/Nijverheid (exclusief de energiesector) (PJ)","Finaal verbruik/Niet-energetisch gebruik/Waarvan chemie en petrochemie (PJ)","Finaal verbruik/Niet-energetisch gebruik/Vervoer (PJ)","Finaal verbruik/Niet-energetisch gebruik/Overige afnemers (PJ)"
"Cokeskool","1992","   140.3","","   140.3","","   140.0","","       .","","   140.3","   140.1","","   140.1","","","","   140.1","","   140.1","","","","","","","     0.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","     0.2","     0.2","     0.1","",""
"Cokeskool","1993","   139.8","","   139.8","","   140.0","","       .","","   139.8","   139.6","","   139.6","","","","   139.6","","   139.6","","","","","","","     0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","     0.1","     0.1","     0.0","",""
"Cokeskool","1994","   148.6","","   148.6","","   149.0","","       .","","   148.6","   148.5","","   148.5","","","","   148.5","","   148.5","","","","","","","     0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","     0.1","     0.1","     0.1","",""
"Cokeskool","1995","   140.1","","   141.1","","   141.0","","    -1.0","","   140.1","   139.9","","   139.9","","","","   139.9","","   139.9","","","","","","","     0.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","     0.2","     0.2","     0.0","",""
"Cokeskool","1996","   146.3","","   140.8","","   141.0","","     5.4","","   146.3","   146.0","","   146.0","","","","   146.0","","   146.0","","","","","","","     0.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","     0.3","     0.3","     0.1","",""
"Cokeskool","1997","   149.9","","   158.9","","   159.0","","    -8.9","","   149.9","   149.6","","   149.6","","","","   149.6","","   149.6","","","","","","","     0.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","     0.3","     0.3","     0.2","",""
"Cokeskool","1998","   145.5","","   151.1","","   151.0","","    -5.6","","   145.5","   145.1","","   145.1","","","","   145.1","","   145.1","","","","","","","     0.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","     0.4","     0.4","     0.2","",""
"Cokeskool","1999","   126.4","","   121.4","","   121.0","","     5.0","","   126.4","   126.0","","   126.0","","","","   126.0","","   126.0","","","","","","","     0.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","     0.5","     0.5","     0.3","",""
"Cokeskool","2000","   116.1","","   112.6","","   113.0","","     3.5","","   116.1","   115.8","","   115.8","","","","   115.8","","   115.8","","","","","","","     0.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","     0.2","     0.2","     0.0","",""
"Cokeskool","2001","   123.4","","   127.2","","   127.0","","    -3.8","","   123.4","   123.2","","   123.2","","","","   123.2","","   123.2","","","","","","","     0.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","     0.2","     0.2","       .","",""
"Cokeskool","2002","   121.0","","   119.2","","   119.0","","     1.8","","   121.0","   120.8","","   120.8","","","","   120.8","","   120.8","","","","","","","     0.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","     0.2","     0.2","       .","",""
"Cokeskool","2003","   125.6","","   123.3","","   123.0","","     2.3","","   125.6","   125.5","","   125.5","","","","   125.5","","   125.5","","","","","","","     0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","     0.1","     0.1","       .","",""
"Cokeskool","2004","   132.2","","   131.5","","   132.0","","     0.7","","   132.2","   132.1","","   132.1","","","","   132.1","","   132.1","","","","","","","     0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","     0.1","     0.1","       .","",""
"Cokeskool","2005","   134.1","","   134.1","","   134.0","","     0.0","","   134.1","   134.0","","   134.0","","","","   134.0","","   134.0","","","","","","","     0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","     0.1","     0.1","       .","",""
"Cokeskool","2006","   125.2","","   124.7","","   125.0","","     0.5","","   125.2","   125.2","","   125.2","","","","   125.2","","   125.2","","","","","","","     0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","     0.1","     0.1","       .","",""
"Cokeskool","2007","   134.7","","   136.7","","   137.0","","    -2.0","","   134.7","   134.6","","   134.6","","","","   134.6","","   134.6","","","","","","","     0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","     0.1","     0.1","       .","",""
"Cokeskool","2008","   126.5","","   127.9","","   128.0","","    -1.4","","   126.5","   126.4","","   126.4","","","","   126.4","","   126.4","","","","","","","     0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","     0.1","     0.1","       .","",""
"Cokeskool","2009","    98.0","","    90.7","","    91.0","","     7.3","","    98.0","    98.0","","    98.0","","","","    98.0","","    98.0","","","","","","","     0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","     0.0","     0.0","       .","",""
"Cokeskool","2010","   113.2","","   119.9","","   120.0","","    -6.8","","   113.2","   113.1","","   113.1","","","","   113.1","","   113.1","","","","","","","     0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","     0.1","     0.1","       .","",""
"Cokeskool","2011","   121.5","","   126.9","","   127.0","","    -5.4","","   121.5","   121.5","","   121.5","","","","   121.5","","   121.5","","","","","","","     0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","     0.1","     0.1","       .","",""
"Cokeskool","2012","   118.5","","   117.5","","   117.0","","     1.0","","   118.5","   118.4","","   118.4","","","","   118.4","","   118.4","","","","","","","     0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","     0.1","     0.1","       .","",""
"Cokeskool","2013","   116.7","","   113.4","","   113.0","","     3.3","","   116.7","   116.6","","   116.6","","","","   116.6","","   116.6","","","","","","","     0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","     0.1","     0.1","       .","",""
"Cokeskool","2014","   123.4","","   128.9","","   129.0","","    -5.5","","   123.4","   123.2","","   123.2","","","","   123.2","","   123.2","","","","","","","     0.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","     0.2","     0.2","       .","",""
"Cokeskool","2015","   127.8","","   115.9","","   116.0","","    11.9","","   127.8","   127.8","","   127.8","","","","   127.8","","   127.8","","","","","","","       .","","","","","","","","","","","","","","","","","","","","","","","","","","","","","       .","       .","       .","",""
"Cokeskool","2016","   124.7","","   123.8","","   124.0","","     0.9","","   124.7","   124.7","","   124.7","","","","   124.7","","   124.7","","","","","","","       .","","","","","","","","","","","","","","","","","","","","","","","","","","","","","       .","       .","       .","",""
"Cokeskool","2017**","   125.8","","   131.7","","   132.0","","    -5.9","","   125.8","   125.8","","   125.8","","","","   125.8","","   125.8","","","","","","","       .","","","","","","","","","","","","","","","","","","","","","","","","","","","","","       .","       .","       .","",""
"Ketelkolen","1946","       .","       .","       .","       .","       .","       .","       .","","       .","       .","       .","","","","","       .","       .","","","","","","","","       .","       .","       .","","       .","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ketelkolen","1947","       .","       .","       .","       .","       .","       .","       .","","       .","       .","       .","","","","","       .","       .","","","","","","","","       .","       .","       .","","       .","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ketelkolen","1948","       .","       .","       .","       .","       .","       .","       .","","       .","       .","       .","","","","","       .","       .","","","","","","","","       .","       .","       .","","       .","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ketelkolen","1949","       .","       .","       .","       .","       .","       .","       .","","       .","       .","       .","","","","","       .","       .","","","","","","","","       .","       .","       .","","       .","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ketelkolen","1950","       .","       .","       .","       .","       .","       .","       .","","       .","       .","       .","","","","","       .","       .","","","","","","","","       .","       .","       .","","       .","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ketelkolen","1951","       .","       .","       .","       .","       .","       .","       .","","       .","       .","       .","","","","","       .","       .","","","","","","","","       .","       .","       .","","       .","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ketelkolen","1952","       .","       .","       .","       .","       .","       .","       .","","       .","       .","       .","","","","","       .","       .","","","","","","","","       .","       .","       .","","       .","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ketelkolen","1953","       .","       .","       .","       .","       .","       .","       .","","       .","       .","       .","","","","","       .","       .","","","","","","","","       .","       .","       .","","       .","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ketelkolen","1954","       .","       .","       .","       .","       .","       .","       .","","       .","       .","       .","","","","","       .","       .","","","","","","","","       .","       .","       .","","       .","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ketelkolen","1955","       .","       .","       .","       .","       .","       .","       .","","       .","       .","       .","","","","","       .","       .","","","","","","","","       .","       .","       .","","       .","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ketelkolen","1956","       .","       .","       .","       .","       .","       .","       .","","       .","       .","       .","","","","","       .","       .","","","","","","","","       .","       .","       .","","       .","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ketelkolen","1957","       .","       .","       .","       .","       .","       .","       .","","       .","       .","       .","","","","","       .","       .","","","","","","","","       .","       .","       .","","       .","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ketelkolen","1958","       .","       .","       .","       .","       .","       .","       .","","       .","       .","       .","","","","","       .","       .","","","","","","","","       .","       .","       .","","       .","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ketelkolen","1959","       .","       .","       .","       .","       .","       .","       .","","       .","       .","       .","","","","","       .","       .","","","","","","","","       .","       .","       .","","       .","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ketelkolen","1960","       .","       .","       .","       .","       .","       .","       .","","       .","       .","       .","","","","","       .","       .","","","","","","","","       .","       .","       .","","       .","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ketelkolen","1961","       .","       .","       .","       .","       .","       .","       .","","       .","       .","       .","","","","","       .","       .","","","","","","","","       .","       .","       .","","       .","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ketelkolen","1962","       .","       .","       .","       .","       .","       .","       .","","       .","       .","       .","","","","","       .","       .","","","","","","","","       .","       .","       .","","       .","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ketelkolen","1963","       .","       .","       .","       .","       .","       .","       .","","       .","       .","       .","","","","","       .","       .","","","","","","","","       .","       .","       .","","       .","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ketelkolen","1964","       .","       .","       .","       .","       .","       .","       .","","       .","       .","       .","","","","","       .","       .","","","","","","","","       .","       .","       .","","       .","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ketelkolen","1965","       .","       .","       .","       .","       .","       .","       .","","       .","       .","       .","","","","","       .","       .","","","","","","","","       .","       .","       .","","       .","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ketelkolen","1966","       .","       .","       .","       .","       .","","       .","","       .","       .","       .","","","","","       .","       .","","","","","","","","       .","       .","       .","","       .","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ketelkolen","1967","       .","       .","       .","       .","       .","","       .","","       .","       .","       .","","","","","       .","       .","","","","","","","","       .","       .","       .","","       .","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ketelkolen","1968","       .","       .","       .","       .","       .","","       .","","       .","       .","       .","","","","","       .","       .","","","","","","","","       .","       .","       .","","       .","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ketelkolen","1969","       .","       .","       .","       .","       .","","       .","","       .","       .","       .","","","","","       .","       .","","","","","","","","       .","       .","       .","","       .","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ketelkolen","1970","       .","       .","       .","       .","       .","","       .","","       .","       .","       .","","","","","       .","       .","","","","","","","","       .","       .","       .","","       .","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ketelkolen","1971","       .","       .","       .","       .","       .","","       .","","       .","       .","       .","","","","","       .","       .","","","","","","","","       .","       .","       .","","       .","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ketelkolen","1972","       .","       .","       .","       .","       .","","       .","","       .","       .","       .","","","","","       .","       .","","","","","","","","       .","       .","       .","","       .","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ketelkolen","1973","       .","       .","       .","       .","       .","","       .","","       .","       .","       .","","","","","       .","       .","","","","","","","","       .","       .","       .","","       .","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ketelkolen","1974","       .","       .","       .","       .","       .","","       .","","       .","       .","       .","","","","","       .","       .","","","","","","","","       .","       .","       .","","       .","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ketelkolen","1975","       .","","       .","       .","       .","","       .","","       .","       .","       .","","","","","       .","       .","","","","","","","","       .","       .","       .","","       .","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ketelkolen","1976","       .","","       .","       .","       .","","       .","","       .","       .","       .","","","","","       .","       .","","","","","","","","       .","       .","       .","","       .","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ketelkolen","1977","       .","","       .","       .","       .","","       .","","       .","       .","       .","","","","","       .","       .","","","","","","","","       .","       .","       .","","       .","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ketelkolen","1978","       .","","       .","       .","       .","","       .","","       .","       .","       .","","","","","       .","       .","","","","","","","","       .","       .","       .","","       .","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ketelkolen","1979","       .","","       .","       .","       .","","       .","","       .","       .","       .","","","","","       .","       .","","","","","","","","       .","       .","       .","","       .","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ketelkolen","1980","       .","","       .","       .","       .","","       .","","       .","       .","       .","","","","","       .","       .","","","","","","","","       .","       .","       .","","       .","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ketelkolen","1981","       .","","       .","       .","       .","","       .","","       .","       .","       .","","","","","       .","       .","","","","","","","","       .","       .","       .","","       .","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ketelkolen","1982","       .","","       .","       .","       .","","       .","","       .","       .","       .","","","","","       .","       .","","","","","","","","       .","       .","       .","","       .","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ketelkolen","1983","       .","       .","       .","       .","       .","","       .","","       .","       .","       .","","","","","       .","       .","","","","","","","","       .","       .","       .","","       .","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ketelkolen","1984","       .","       .","       .","       .","       .","","       .","","       .","       .","       .","","","","","       .","       .","","","","","","","","       .","       .","       .","","       .","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ketelkolen","1985","       .","       .","       .","       .","       .","","       .","","       .","       .","       .","","","","","       .","       .","","","","","","","","       .","       .","       .","","       .","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ketelkolen","1986","       .","       .","       .","       .","       .","","       .","","       .","       .","       .","","","","","       .","       .","","","","","","","","       .","       .","       .","","       .","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ketelkolen","1987","       .","","       .","       .","       .","","       .","","       .","       .","       .","","","","","       .","       .","","","","","","","","       .","       .","       .","","       .","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ketelkolen","1988","       .","","       .","       .","       .","","       .","","       .","       .","       .","","","","","       .","       .","","","","","","","","       .","       .","       .","","       .","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ketelkolen","1989","       .","","       .","       .","       .","","       .","","       .","       .","       .","","","","","       .","       .","","","","","","","","       .","       .","       .","","       .","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ketelkolen","1990","   241.4","","   241.4","","   241.0","","       .","","   241.4","   233.0","   233.0","","","","","   233.0","   233.0","","","","","","","","     8.4","     8.4","     8.4","","     8.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ketelkolen","1991","   217.4","","   217.4","","   217.0","","       .","","   217.4","   209.9","   209.9","","","","","   209.9","   209.9","","","","","","","","     7.5","     7.5","     7.5","","     7.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ketelkolen","1992","   215.2","","   215.2","","   215.0","","       .","","   215.2","   215.2","   215.2","","","","","   215.2","   215.2","","","","","","","","       .","       .","       .","","       .","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ketelkolen","1993","   209.2","","   209.2","","   209.0","","       .","","   209.2","   209.1","   209.1","","","","","   209.1","   209.1","","","","","","","","     0.1","     0.1","     0.1","","     0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ketelkolen","1994","   230.9","","   230.9","","   231.0","","       .","","   230.9","   230.7","   230.7","","","","","   230.7","   230.7","","","","","","","","     0.2","     0.2","     0.2","","     0.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ketelkolen","1995","   242.8","","   242.8","","   243.0","","       .","","   242.8","   242.6","   242.6","","","","","   242.6","   242.6","","","","","","","","     0.1","     0.1","     0.1","","     0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ketelkolen","1996","   229.9","","   229.9","","   230.0","","       .","","   229.9","   229.5","   229.5","","","","","   229.5","   229.5","","","","","","","","     0.5","     0.5","     0.5","","     0.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ketelkolen","1997","   216.3","","   216.3","","   216.0","","       .","","   216.3","   215.5","   215.5","","","","","   215.5","   215.5","","","","","","","","     0.8","     0.8","     0.8","","     0.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ketelkolen","1998","   227.4","","   227.4","","   227.0","","       .","","   227.4","   226.6","   226.6","","","","","   226.6","   226.6","","","","","","","","     0.8","     0.8","     0.8","","     0.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ketelkolen","1999","   188.9","","   188.9","","   189.0","","       .","","   188.9","   187.7","   187.7","","","","","   187.7","   187.7","","","","","","","","     1.1","     1.1","     1.1","","     1.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ketelkolen","2000","   209.4","","   209.4","","   209.0","","       .","","   209.4","   209.3","   209.3","","","","","   209.3","   209.3","","","","","","","","     0.1","     0.1","     0.1","","     0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ketelkolen","2001","   223.9","","   222.2","","   222.0","","     1.8","","   223.9","   223.9","   223.9","","","","","   223.9","   223.9","","","","","","","","       .","       .","       .","","       .","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ketelkolen","2002","   225.8","","   228.9","","   229.0","","    -3.0","","   225.8","   225.8","   225.8","","","","","   225.8","   225.8","","","","","","","","       .","       .","       .","","       .","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ketelkolen","2003","   230.6","","   229.1","","   229.0","","     1.5","","   230.6","   230.6","   230.6","","","","","   230.6","   230.6","","","","","","","","       .","       .","       .","","       .","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ketelkolen","2004","   222.6","","   225.6","","   226.0","","    -3.0","","   222.6","   222.6","   222.6","","","","","   222.6","   222.6","","","","","","","","       .","       .","       .","","       .","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ketelkolen","2005","   207.5","","   207.5","","   208.0","","     0.0","","   207.5","   207.5","   207.5","","","","","   207.5","   207.5","","","","","","","","       .","       .","       .","","       .","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ketelkolen","2006","   204.6","","   201.9","","   202.0","","     2.7","","   204.6","   204.6","   204.6","","","","","   204.6","   204.6","","","","","","","","       .","       .","       .","","       .","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ketelkolen","2007","   214.5","","   215.7","","   216.0","","    -1.3","","   214.5","   214.5","   214.5","","","","","   214.5","   214.5","","","","","","","","       .","       .","       .","","       .","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ketelkolen","2008","   202.9","","   201.2","","   201.0","","     1.7","","   202.9","   202.9","   202.9","","","","","   202.9","   202.9","","","","","","","","       .","       .","       .","","       .","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ketelkolen","2009","   208.5","","   212.6","","   213.0","","    -4.1","","   208.5","   208.5","   208.5","","","","","   208.5","   208.5","","","","","","","","       .","       .","       .","","       .","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ketelkolen","2010","   195.4","","   193.8","","   194.0","","     1.7","","   195.4","   195.4","   195.4","","","","","   195.4","   195.4","","","","","","","","       .","       .","       .","","       .","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ketelkolen","2011","   182.1","","   180.5","","   180.0","","     1.6","","   182.1","   182.1","   182.1","","","","","   182.1","   182.1","","","","","","","","       .","       .","       .","","       .","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ketelkolen","2012","   211.4","","   211.1","","   211.0","","     0.3","","   211.4","   211.4","   211.4","","","","","   211.4","   211.4","","","","","","","","       .","       .","       .","","       .","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ketelkolen","2013","   220.7","","   221.4","","   221.0","","    -0.7","","   220.7","   220.7","   220.7","","","","","   220.7","   220.7","","","","","","","","       .","       .","       .","","       .","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ketelkolen","2014","   255.1","","   261.0","","   261.0","","    -5.8","","   255.1","   255.1","   255.1","","","","","   255.1","   255.1","","","","","","","","       .","       .","       .","","       .","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ketelkolen","2015","   336.6","","   332.2","","   332.0","","     4.4","","   336.6","   336.6","   336.6","","","","","   336.6","   336.6","","","","","","","","       .","       .","       .","","       .","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ketelkolen","2016","   304.7","","   302.2","","   302.0","","     2.4","","   304.7","   304.7","   304.7","","","","","   304.7","   304.7","","","","","","","","       .","       .","       .","","       .","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ketelkolen","2017**","   256.5","","   256.1","","   256.0","","     0.4","","   256.5","   256.5","   256.5","","","","","   256.5","   256.5","","","","","","","","       .","       .","       .","","       .","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bruinkool","1946","       .","     9.7","       .","       .","       .","","       .","","       .","","","","","","","","","","","","","","","","       .","       .","       .","","","","       .","","","       .","","","","","","","","","","","","","","       .","       .","","","","","","","","",""
"Bruinkool","1947","       .","     9.5","       .","       .","       .","","       .","","       .","","","","","","","","","","","","","","","","       .","       .","       .","","","","       .","","","       .","","","","","","","","","","","","","","       .","       .","","","","","","","","",""
"Bruinkool","1948","       .","     5.6","       .","       .","       .","","       .","","       .","","","","","","","","","","","","","","","","       .","       .","       .","","","","       .","","","       .","","","","","","","","","","","","","","       .","       .","","","","","","","","",""
"Bruinkool","1949","       .","     4.1","       .","       .","       .","","       .","","       .","","","","","","","","","","","","","","","","       .","       .","       .","","","","       .","","","       .","","","","","","","","","","","","","","       .","       .","","","","","","","","",""
"Bruinkool","1950","       .","     3.9","       .","       .","       .","","       .","","       .","","","","","","","","","","","","","","","","       .","       .","       .","","","","       .","","","       .","","","","","","","","","","","","","","       .","       .","","","","","","","","",""
"Bruinkool","1951","       .","     5.0","       .","       .","       .","","       .","","       .","","","","","","","","","","","","","","","","       .","       .","       .","","","","       .","","","       .","","","","","","","","","","","","","","       .","       .","","","","","","","","",""
"Bruinkool","1952","       .","     4.7","       .","       .","       .","","       .","","       .","","","","","","","","","","","","","","","","       .","       .","       .","","","","       .","","","       .","","","","","","","","","","","","","","       .","       .","","","","","","","","",""
"Bruinkool","1953","       .","     5.0","       .","       .","       .","","       .","","       .","","","","","","","","","","","","","","","","       .","       .","       .","","","","       .","","","       .","","","","","","","","","","","","","","       .","       .","","","","","","","","",""
"Bruinkool","1954","       .","     3.4","       .","       .","       .","","       .","","       .","","","","","","","","","","","","","","","","       .","       .","       .","","","","       .","","","       .","","","","","","","","","","","","","","       .","       .","","","","","","","","",""
