"Energiedragers","Perioden","Energieaanbod/Totaal aanbod (TPES) (PJ)","Winning","Invoer","Uitvoer","Energieverbruik"
"Totaal kool en koolproducten","1968","   308.0","   182.0","   232.0","   126.0","   308.0"
"Totaal kool en koolproducten","1969","   262.0","   152.0","   205.0","   102.0","   262.0"
"Totaal kool en koolproducten","1970","   192.0","   119.0","   168.0","    90.0","   192.0"
"Totaal kool en koolproducten","1971","   145.0","    99.0","   131.0","    82.0","   145.0"
"Totaal kool en koolproducten","1972","   124.0","    77.0","   121.0","    88.0","   124.0"
"Totaal kool en koolproducten","1973","   126.0","    47.0","   134.0","    72.0","   126.0"
"Totaal kool en koolproducten","1974","   120.0","    21.0","   149.0","    52.0","   120.0"
"Totaal kool en koolproducten","1975","   101.0","","   131.0","    21.0","   101.0"
"Totaal kool en koolproducten","1976","   126.0","","   149.0","    22.0","   126.0"
"Totaal kool en koolproducten","1977","   132.0","","   153.0","    22.0","   132.0"
"Totaal kool en koolproducten","1978","   151.0","","   166.0","    28.0","   152.0"
"Totaal kool en koolproducten","1979","   144.0","","   208.0","    56.0","   145.0"
"Totaal kool en koolproducten","1980","   167.0","","   221.0","    56.0","   167.0"
"Totaal kool en koolproducten","1981","   185.0","","   245.0","    50.0","   185.0"
"Totaal kool en koolproducten","1982","   214.0","","   263.0","    38.0","   214.0"
"Totaal kool en koolproducten","1983","   221.0","     3.0","   230.0","    42.0","   222.0"
"Totaal kool en koolproducten","1984","   267.0","     3.0","   328.0","    70.0","   267.0"
"Totaal kool en koolproducten","1985","   266.0","     3.0","   337.0","    76.0","   266.0"
"Totaal kool en koolproducten","1986","   274.0","     2.0","   358.0","    94.0","   274.0"
"Totaal kool en koolproducten","1987","   289.0","","   372.0","    73.0","   289.0"
"Totaal kool en koolproducten","1988","   346.0","","   423.0","    77.0","   346.0"
"Totaal kool en koolproducten","1989","   343.0","","   404.0","    58.0","   343.0"
"Totaal kool en koolproducten","1990","   366.9","","   389.5","    24.7","   366.9"
"Totaal kool en koolproducten","1991","   335.6","","   367.9","    32.1","   335.6"
"Totaal kool en koolproducten","1992","   335.3","","   370.1","    34.6","   335.3"
"Totaal kool en koolproducten","1993","   336.6","","   361.1","    27.3","   336.6"
"Totaal kool en koolproducten","1994","   367.2","","   398.6","    29.2","   367.2"
"Totaal kool en koolproducten","1995","   373.6","","   409.1","    32.6","   373.6"
"Totaal kool en koolproducten","1996","   361.1","","   385.6","    27.3","   361.1"
"Totaal kool en koolproducten","1997","   351.7","","   391.9","    30.4","   351.7"
"Totaal kool en koolproducten","1998","   357.9","","   395.6","    33.8","   357.9"
"Totaal kool en koolproducten","1999","   312.3","","   328.6","    24.7","   312.3"
"Totaal kool en koolproducten","2000","   325.2","","   340.1","    16.8","   325.2"
"Totaal kool en koolproducten","2001","   346.1","","   371.3","    23.9","   346.2"
"Totaal kool en koolproducten","2002","   348.0","","   367.9","    21.0","   348.0"
"Totaal kool en koolproducten","2003","   359.3","","   372.8","    17.5","   359.3"
"Totaal kool en koolproducten","2004","   354.6","","   369.2","    10.9","   354.6"
"Totaal kool en koolproducten","2005","   338.6","","   354.1","    11.1","   338.6"
"Totaal kool en koolproducten","2006","   323.9","","   342.0","    22.4","   323.9"
"Totaal kool en koolproducten","2007","   351.8","","   371.9","    17.7","   351.8"
"Totaal kool en koolproducten","2008","   333.5","","   341.0","    10.2","   333.5"
"Totaal kool en koolproducten","2009","   312.4","","   310.7","     4.8","   312.4"
"Totaal kool en koolproducten","2010","   315.5","","   324.5","     4.6","   315.5"
"Totaal kool en koolproducten","2011","   311.4","","   315.9","     1.8","   311.4"
"Totaal kool en koolproducten","2012","   341.2","","   340.8","     3.3","   341.2"
"Totaal kool en koolproducten","2013","   342.8","","   343.9","     9.2","   342.8"
"Totaal kool en koolproducten","2014","   378.8","","   406.8","    18.3","   378.8"
"Totaal kool en koolproducten","2015","   461.1","","   452.2","     7.1","   461.1"
"Totaal kool en koolproducten","2016","   427.3","","   430.7","     5.3","   427.3"
