"Energiedragers","Perioden","Energieaanbod/Winning (PJ)","Energieaanbod/Invoer (PJ)","Energieaanbod/Uitvoer (PJ)","Energieaanbod/Invoersaldo (PJ)","Energieaanbod/Bunkering (PJ)","Totaal energieverbruik (PJ)"
"Hernieuwbare energie","1954","       .","       .","       .","       .","","       ."
"Hernieuwbare energie","1955","       .","       .","       .","       .","","       ."
"Hernieuwbare energie","1956","       .","       .","       .","       .","","       ."
"Hernieuwbare energie","1957","       .","       .","       .","       .","","       ."
"Hernieuwbare energie","1958","       .","       .","       .","       .","","       ."
"Hernieuwbare energie","1959","       .","       .","       .","       .","","       ."
"Hernieuwbare energie","1960","       .","       .","       .","       .","","       ."
"Hernieuwbare energie","1961","       .","       .","       .","       .","","       ."
"Hernieuwbare energie","1962","       .","       .","       .","       .","","       ."
"Hernieuwbare energie","1963","       .","       .","       .","       .","","       ."
"Hernieuwbare energie","1964","       .","       .","       .","       .","","       ."
"Hernieuwbare energie","1965","       .","       .","       .","       .","","       ."
"Hernieuwbare energie","1966","       .","       .","       .","       .","","       ."
"Hernieuwbare energie","1967","       .","       .","       .","       .","","       ."
"Hernieuwbare energie","1968","       .","       .","       .","       .","","       ."
"Hernieuwbare energie","1969","       .","       .","       .","       .","","       ."
"Hernieuwbare energie","1970","       .","       .","       .","       .","","       ."
"Hernieuwbare energie","1971","       .","       .","       .","       .","","       ."
"Hernieuwbare energie","1972","       .","       .","       .","       .","","       ."
"Hernieuwbare energie","1973","       .","       .","       .","       .","","       ."
"Hernieuwbare energie","1974","       .","       .","       .","       .","","       ."
"Hernieuwbare energie","1975","       .","       .","       .","       .","","       ."
"Hernieuwbare energie","1976","       .","       .","       .","       .","","       ."
"Hernieuwbare energie","1977","       .","       .","       .","       .","","       ."
"Hernieuwbare energie","1978","       .","       .","       .","       .","","       ."
"Hernieuwbare energie","1979","       .","       .","       .","       .","","       ."
"Hernieuwbare energie","1980","       .","       .","       .","       .","","       ."
"Hernieuwbare energie","1981","       .","       .","       .","       .","","       ."
"Hernieuwbare energie","1982","       .","       .","       .","       .","","       ."
"Hernieuwbare energie","1983","       .","       .","       .","       .","","       ."
"Hernieuwbare energie","1984","       .","       .","       .","       .","","       ."
"Hernieuwbare energie","1985","       .","       .","       .","       .","","       ."
"Hernieuwbare energie","1986","       .","       .","       .","       .","","       ."
"Hernieuwbare energie","1987","       .","       .","       .","       .","","       ."
"Hernieuwbare energie","1988","       .","       .","       .","       .","","       ."
"Hernieuwbare energie","1989","       .","       .","       .","       .","","       ."
"Hernieuwbare energie","1990","    31.6","       .","       .","       .","","    31.6"
"Hernieuwbare energie","1991","    32.0","       .","       .","       .","","    32.0"
"Hernieuwbare energie","1992","    33.0","       .","       .","       .","","    33.0"
"Hernieuwbare energie","1993","    35.3","       .","       .","       .","","    35.3"
"Hernieuwbare energie","1994","    35.5","       .","       .","       .","","    35.5"
"Hernieuwbare energie","1995","    39.0","       .","       .","       .","","    39.0"
"Hernieuwbare energie","1996","    44.8","       .","       .","       .","","    44.7"
"Hernieuwbare energie","1997","    48.4","       .","       .","       .","","    48.5"
"Hernieuwbare energie","1998","    52.9","       .","     1.9","    -2.0","","    51.1"
"Hernieuwbare energie","1999","    55.9","     0.0","     2.6","    -3.0","","    53.3"
"Hernieuwbare energie","2000","    61.4","     0.2","     4.4","    -4.0","","    57.1"
"Hernieuwbare energie","2001","    65.6","     1.3","     7.0","    -6.0","","    59.9"
"Hernieuwbare energie","2002","    72.1","     4.8","    11.2","    -6.0","","    65.8"
"Hernieuwbare energie","2003","    72.7","     2.8","    11.2","    -8.0","","    64.4"
"Hernieuwbare energie","2004","    79.0","    11.0","    13.9","    -3.0","","    76.1"
"Hernieuwbare energie","2005","    82.9","    24.1","    11.7","    12.0","","    95.3"
"Hernieuwbare energie","2006","    91.0","    22.4","    11.5","    11.0","","   101.7"
"Hernieuwbare energie","2007","    95.4","    25.4","    12.2","    13.0","","   105.9"
"Hernieuwbare energie","2008","   108.4","    34.0","    11.1","    23.0","","   127.1"
"Hernieuwbare energie","2009","   122.9","    27.9","    10.2","    18.0","","   140.2"
"Hernieuwbare energie","2010","   130.5","    27.6","    23.3","     4.0","","   137.4"
"Hernieuwbare energie","2011","   137.0","    26.1","    18.4","     8.0","","   143.1"
"Hernieuwbare energie","2012","   166.9","    28.5","    41.9","   -13.0","","   151.2"
"Hernieuwbare energie","2013","   186.6","    21.7","    54.6","   -33.0","","   149.7"
"Hernieuwbare energie","2014","   195.8","    19.1","    67.6","   -48.0","","   150.3"
"Hernieuwbare energie","2015","   204.1","    19.3","    64.1","   -45.0","","   159.8"
"Hernieuwbare energie","2016","   203.9","    20.9","    59.3","   -38.0","","   164.9"
"Hernieuwbare energie","2017**","   234.8","    19.8","    68.7","   -49.0","","   181.8"
"Windenergie op zee","1946","","","","","",""
"Windenergie op zee","1947","","","","","",""
"Windenergie op zee","1948","","","","","",""
"Windenergie op zee","1949","","","","","",""
"Windenergie op zee","1950","","","","","",""
"Windenergie op zee","1951","","","","","",""
"Windenergie op zee","1952","","","","","",""
"Windenergie op zee","1953","","","","","",""
"Windenergie op zee","1954","","","","","",""
"Windenergie op zee","1955","","","","","",""
"Windenergie op zee","1956","","","","","",""
"Windenergie op zee","1957","","","","","",""
"Windenergie op zee","1958","","","","","",""
"Windenergie op zee","1959","","","","","",""
"Windenergie op zee","1960","","","","","",""
"Windenergie op zee","1961","","","","","",""
"Windenergie op zee","1962","","","","","",""
"Windenergie op zee","1963","","","","","",""
"Windenergie op zee","1964","","","","","",""
"Windenergie op zee","1965","","","","","",""
"Windenergie op zee","1966","","","","","",""
"Windenergie op zee","1967","","","","","",""
"Windenergie op zee","1968","","","","","",""
"Windenergie op zee","1969","","","","","",""
"Windenergie op zee","1970","","","","","",""
"Windenergie op zee","1971","","","","","",""
"Windenergie op zee","1972","","","","","",""
"Windenergie op zee","1973","","","","","",""
"Windenergie op zee","1974","","","","","",""
"Windenergie op zee","1975","","","","","",""
"Windenergie op zee","1976","","","","","",""
"Windenergie op zee","1977","","","","","",""
"Windenergie op zee","1978","","","","","",""
"Windenergie op zee","1979","","","","","",""
"Windenergie op zee","1980","","","","","",""
"Windenergie op zee","1981","","","","","",""
"Windenergie op zee","1982","","","","","",""
"Windenergie op zee","1983","","","","","",""
"Windenergie op zee","1984","","","","","",""
"Windenergie op zee","1985","","","","","",""
"Windenergie op zee","1986","","","","","",""
"Windenergie op zee","1987","","","","","",""
"Windenergie op zee","1988","","","","","",""
"Windenergie op zee","1989","","","","","",""
"Windenergie op zee","1990","","","","","",""
"Windenergie op zee","1991","","","","","",""
"Windenergie op zee","1992","","","","","",""
"Windenergie op zee","1993","","","","","",""
"Windenergie op zee","1994","","","","","",""
"Windenergie op zee","1995","","","","","",""
"Windenergie op zee","1996","","","","","",""
"Windenergie op zee","1997","","","","","",""
"Windenergie op zee","1998","","","","","",""
"Windenergie op zee","1999","","","","","",""
"Windenergie op zee","2000","","","","","",""
"Windenergie op zee","2001","","","","","",""
"Windenergie op zee","2002","","","","","",""
"Windenergie op zee","2003","","","","","",""
"Windenergie op zee","2004","","","","","",""
"Windenergie op zee","2005","","","","","",""
"Windenergie op zee","2006","     0.2","","","","","     0.2"
"Windenergie op zee","2007","     1.2","","","","","     1.2"
"Windenergie op zee","2008","     2.1","","","","","     2.1"
"Windenergie op zee","2009","     2.6","","","","","     2.6"
"Windenergie op zee","2010","     2.4","","","","","     2.4"
"Windenergie op zee","2011","     2.9","","","","","     2.9"
"Windenergie op zee","2012","     2.8","","","","","     2.8"
"Windenergie op zee","2013","     2.8","","","","","     2.8"
"Windenergie op zee","2014","     2.7","","","","","     2.7"
"Windenergie op zee","2015","     4.1","","","","","     4.1"
"Windenergie op zee","2016","     8.2","","","","","     8.2"
"Windenergie op zee","2017**","    13.3","","","","","    13.3"
"Omgevingsenergie","1946","       .","","","","","       ."
"Omgevingsenergie","1947","       .","","","","","       ."
"Omgevingsenergie","1948","       .","","","","","       ."
"Omgevingsenergie","1949","       .","","","","","       ."
"Omgevingsenergie","1950","       .","","","","","       ."
"Omgevingsenergie","1951","       .","","","","","       ."
"Omgevingsenergie","1952","       .","","","","","       ."
"Omgevingsenergie","1953","       .","","","","","       ."
"Omgevingsenergie","1954","       .","","","","","       ."
"Omgevingsenergie","1955","       .","","","","","       ."
"Omgevingsenergie","1956","       .","","","","","       ."
"Omgevingsenergie","1957","       .","","","","","       ."
"Omgevingsenergie","1958","       .","","","","","       ."
"Omgevingsenergie","1959","       .","","","","","       ."
"Omgevingsenergie","1960","       .","","","","","       ."
"Omgevingsenergie","1961","       .","","","","","       ."
"Omgevingsenergie","1962","       .","","","","","       ."
"Omgevingsenergie","1963","       .","","","","","       ."
"Omgevingsenergie","1964","       .","","","","","       ."
"Omgevingsenergie","1965","       .","","","","","       ."
"Omgevingsenergie","1966","       .","","","","","       ."
"Omgevingsenergie","1967","       .","","","","","       ."
"Omgevingsenergie","1968","       .","","","","","       ."
"Omgevingsenergie","1969","       .","","","","","       ."
"Omgevingsenergie","1970","       .","","","","","       ."
"Omgevingsenergie","1971","       .","","","","","       ."
"Omgevingsenergie","1972","       .","","","","","       ."
"Omgevingsenergie","1973","       .","","","","","       ."
"Omgevingsenergie","1974","       .","","","","","       ."
"Omgevingsenergie","1975","       .","","","","","       ."
"Omgevingsenergie","1976","       .","","","","","       ."
"Omgevingsenergie","1977","       .","","","","","       ."
"Omgevingsenergie","1978","       .","","","","","       ."
"Omgevingsenergie","1979","       .","","","","","       ."
"Omgevingsenergie","1980","       .","","","","","       ."
"Omgevingsenergie","1981","       .","","","","","       ."
"Omgevingsenergie","1982","       .","","","","","       ."
"Omgevingsenergie","1983","       .","","","","","       ."
"Omgevingsenergie","1984","       .","","","","","       ."
"Omgevingsenergie","1985","       .","","","","","       ."
"Omgevingsenergie","1986","       .","","","","","       ."
"Omgevingsenergie","1987","       .","","","","","       ."
"Omgevingsenergie","1988","       .","","","","","       ."
"Omgevingsenergie","1989","       .","","","","","       ."
"Omgevingsenergie","1990","       .","","","","","       ."
"Omgevingsenergie","1991","       .","","","","","       ."
"Omgevingsenergie","1992","       .","","","","","       ."
"Omgevingsenergie","1993","       .","","","","","       ."
"Omgevingsenergie","1994","     0.0","","","","","     0.0"
"Omgevingsenergie","1995","     0.0","","","","","     0.0"
"Omgevingsenergie","1996","     0.0","","","","","     0.0"
"Omgevingsenergie","1997","     0.1","","","","","     0.1"
"Omgevingsenergie","1998","     0.1","","","","","     0.1"
"Omgevingsenergie","1999","     0.1","","","","","     0.1"
"Omgevingsenergie","2000","     0.2","","","","","     0.2"
"Omgevingsenergie","2001","     0.2","","","","","     0.2"
"Omgevingsenergie","2002","     0.3","","","","","     0.3"
"Omgevingsenergie","2003","     0.4","","","","","     0.4"
"Omgevingsenergie","2004","     0.5","","","","","     0.5"
"Omgevingsenergie","2005","     0.7","","","","","     0.7"
"Omgevingsenergie","2006","     0.9","","","","","     0.9"
"Omgevingsenergie","2007","     1.2","","","","","     1.2"
"Omgevingsenergie","2008","     1.7","","","","","     1.7"
"Omgevingsenergie","2009","     2.2","","","","","     2.2"
"Omgevingsenergie","2010","     2.7","","","","","     2.7"
"Omgevingsenergie","2011","     3.3","","","","","     3.3"
"Omgevingsenergie","2012","     3.8","","","","","     3.8"
"Omgevingsenergie","2013","     4.4","","","","","     4.4"
"Omgevingsenergie","2014","     5.0","","","","","     5.0"
"Omgevingsenergie","2015","     5.7","","","","","     5.7"
"Omgevingsenergie","2016","     6.5","","","","","     6.5"
"Omgevingsenergie","2017**","     7.5","","","","","     7.5"
"Totaal biomassa","1946","       .","       .","       .","       .","","       ."
"Totaal biomassa","1947","       .","       .","       .","       .","","       ."
"Totaal biomassa","1948","       .","       .","       .","       .","","       ."
"Totaal biomassa","1949","       .","       .","       .","       .","","       ."
"Totaal biomassa","1950","       .","       .","       .","       .","","       ."
"Totaal biomassa","1951","       .","       .","       .","       .","","       ."
"Totaal biomassa","1952","       .","       .","       .","       .","","       ."
"Totaal biomassa","1953","       .","       .","       .","       .","","       ."
"Totaal biomassa","1954","       .","       .","       .","       .","","       ."
"Totaal biomassa","1955","       .","       .","       .","       .","","       ."
"Totaal biomassa","1956","       .","       .","       .","       .","","       ."
"Totaal biomassa","1957","       .","       .","       .","       .","","       ."
"Totaal biomassa","1958","       .","       .","       .","       .","","       ."
"Totaal biomassa","1959","       .","       .","       .","       .","","       ."
"Totaal biomassa","1960","       .","       .","       .","       .","","       ."
"Totaal biomassa","1961","       .","       .","       .","       .","","       ."
"Totaal biomassa","1962","       .","       .","       .","       .","","       ."
"Totaal biomassa","1963","       .","       .","       .","       .","","       ."
"Totaal biomassa","1964","       .","       .","       .","       .","","       ."
"Totaal biomassa","1965","       .","       .","       .","       .","","       ."
"Totaal biomassa","1966","       .","       .","       .","       .","","       ."
"Totaal biomassa","1967","       .","       .","       .","       .","","       ."
"Totaal biomassa","1968","       .","       .","       .","       .","","       ."
"Totaal biomassa","1969","       .","       .","       .","       .","","       ."
"Totaal biomassa","1970","       .","       .","       .","       .","","       ."
"Totaal biomassa","1971","       .","       .","       .","       .","","       ."
"Totaal biomassa","1972","       .","       .","       .","       .","","       ."
"Totaal biomassa","1973","       .","       .","       .","       .","","       ."
"Totaal biomassa","1974","       .","       .","       .","       .","","       ."
"Totaal biomassa","1975","       .","       .","       .","       .","","       ."
"Totaal biomassa","1976","       .","       .","       .","       .","","       ."
"Totaal biomassa","1977","       .","       .","       .","       .","","       ."
"Totaal biomassa","1978","       .","       .","       .","       .","","       ."
"Totaal biomassa","1979","       .","       .","       .","       .","","       ."
"Totaal biomassa","1980","       .","       .","       .","       .","","       ."
"Totaal biomassa","1981","       .","       .","       .","       .","","       ."
"Totaal biomassa","1982","       .","       .","       .","       .","","       ."
"Totaal biomassa","1983","       .","       .","       .","       .","","       ."
"Totaal biomassa","1984","       .","       .","       .","       .","","       ."
"Totaal biomassa","1985","       .","       .","       .","       .","","       ."
"Totaal biomassa","1986","       .","       .","       .","       .","","       ."
"Totaal biomassa","1987","       .","       .","       .","       .","","       ."
"Totaal biomassa","1988","       .","       .","       .","       .","","       ."
"Totaal biomassa","1989","       .","       .","       .","       .","","       ."
"Totaal biomassa","1990","    31.0","       .","       .","       .","","    31.0"
"Totaal biomassa","1991","    31.2","       .","       .","       .","","    31.2"
"Totaal biomassa","1992","    31.9","       .","       .","       .","","    31.9"
"Totaal biomassa","1993","    34.2","       .","       .","       .","","    34.2"
"Totaal biomassa","1994","    34.1","       .","       .","       .","","    34.1"
"Totaal biomassa","1995","    37.3","       .","       .","       .","","    37.3"
"Totaal biomassa","1996","    42.7","       .","       .","       .","","    42.6"
"Totaal biomassa","1997","    46.0","       .","       .","       .","","    46.1"
"Totaal biomassa","1998","    49.7","       .","     1.9","    -2.0","","    47.9"
"Totaal biomassa","1999","    52.7","     0.0","     2.6","    -3.0","","    50.1"
"Totaal biomassa","2000","    57.2","     0.2","     4.4","    -4.0","","    53.0"
"Totaal biomassa","2001","    61.5","     1.3","     7.0","    -6.0","","    55.7"
"Totaal biomassa","2002","    67.3","     4.8","    11.2","    -6.0","","    61.0"
"Totaal biomassa","2003","    66.6","     2.8","    11.2","    -8.0","","    58.2"
"Totaal biomassa","2004","    70.6","    11.0","    13.9","    -3.0","","    67.7"
"Totaal biomassa","2005","    73.5","    24.1","    11.7","    12.0","","    85.9"
"Totaal biomassa","2006","    78.9","    22.4","    11.5","    11.0","","    89.6"
"Totaal biomassa","2007","    80.4","    25.4","    12.2","    13.0","","    90.9"
"Totaal biomassa","2008","    89.9","    34.0","    11.1","    23.0","","   108.7"
"Totaal biomassa","2009","   102.7","    27.9","    10.2","    18.0","","   119.9"
"Totaal biomassa","2010","   111.5","    27.6","    23.3","     4.0","","   118.4"
"Totaal biomassa","2011","   113.5","    26.1","    18.4","     8.0","","   119.5"
"Totaal biomassa","2012","   142.6","    28.5","    41.9","   -13.0","","   126.8"
"Totaal biomassa","2013","   158.0","    21.7","    54.6","   -33.0","","   121.1"
"Totaal biomassa","2014","   164.3","    19.1","    67.6","   -48.0","","   118.8"
"Totaal biomassa","2015","   163.3","    19.3","    64.1","   -45.0","","   119.1"
"Totaal biomassa","2016","   157.8","    20.9","    59.3","   -38.0","","   118.9"
"Totaal biomassa","2017**","   177.0","    19.8","    68.7","   -49.0","","   123.9"
"Elektriciteit","1946","","     0.2","     0.0","     0.0","","     0.2"
"Elektriciteit","1947","","     0.0","     0.1","     0.0","","    -0.1"
"Elektriciteit","1948","","     0.0","     0.1","     0.0","","    -0.1"
"Elektriciteit","1949","","     0.0","     0.1","     0.0","","    -0.1"
"Elektriciteit","1950","","     0.2","     0.1","     0.0","","     0.1"
"Elektriciteit","1951","","     1.1","     0.0","     1.0","","     1.1"
"Elektriciteit","1952","","     0.7","     0.1","     1.0","","     0.7"
"Elektriciteit","1953","","     0.2","     0.3","     0.0","","     0.0"
"Elektriciteit","1954","","     0.1","     0.3","     0.0","","    -0.2"
"Elektriciteit","1955","","     0.9","     0.2","     1.0","","     0.7"
"Elektriciteit","1956","","     0.6","     0.7","     0.0","","    -0.1"
"Elektriciteit","1957","","     0.5","     0.8","     0.0","","    -0.3"
"Elektriciteit","1958","","     0.8","     0.1","     1.0","","     0.7"
"Elektriciteit","1959","","     0.5","     0.2","     0.0","","     0.3"
"Elektriciteit","1960","","     0.6","     0.1","     0.0","","     0.4"
"Elektriciteit","1961","","     0.4","     0.2","     0.0","","     0.2"
"Elektriciteit","1962","","     0.3","     0.4","     0.0","","    -0.1"
"Elektriciteit","1963","","     0.5","     0.3","     0.0","","     0.2"
"Elektriciteit","1964","","     0.2","     0.1","     0.0","","     0.1"
"Elektriciteit","1965","","     0.4","     0.2","     0.0","","     0.1"
"Elektriciteit","1966","","     0.3","     1.4","    -1.0","","    -1.1"
"Elektriciteit","1967","","     0.2","     1.4","    -1.0","","    -1.2"
"Elektriciteit","1968","","     0.1","     1.1","    -1.0","","    -1.0"
"Elektriciteit","1969","","     0.1","     1.4","    -1.0","","    -1.3"
"Elektriciteit","1970","","     0.1","     1.3","    -1.0","","    -1.2"
"Elektriciteit","1971","","     0.0","     3.9","    -4.0","","    -3.9"
"Elektriciteit","1972","","     0.0","     5.3","    -5.0","","    -5.3"
"Elektriciteit","1973","","     0.0","     4.9","    -5.0","","    -4.8"
"Elektriciteit","1974","","     0.0","     5.4","    -5.0","","    -5.3"
"Elektriciteit","1975","","     0.2","     1.1","    -1.0","","    -1.0"
"Elektriciteit","1976","","     0.1","     1.2","    -1.0","","    -2.0"
"Elektriciteit","1977","","     3.6","     0.9","     3.0","","     3.0"
"Elektriciteit","1978","","     2.2","     1.0","     1.0","","     2.0"
"Elektriciteit","1979","","     1.4","     0.9","     1.0","","     1.0"
"Elektriciteit","1980","","     1.8","     2.9","    -1.0","","    -1.0"
"Elektriciteit","1981","","     1.2","     1.6","     0.0","","    -1.0"
"Elektriciteit","1982","","    11.2","     0.9","    10.0","","    10.0"
"Elektriciteit","1983","","    17.5","     0.8","    17.0","","    16.0"
"Elektriciteit","1984","     1.0","    13.2","     0.6","    13.0","","    12.0"
"Elektriciteit","1985","     1.0","    18.9","     0.5","    18.0","","    19.0"
"Elektriciteit","1986","     1.0","     7.9","     0.0","     8.0","","     8.0"
"Elektriciteit","1987","     1.0","    13.1","     0.1","    13.0","","    13.0"
"Elektriciteit","1988","     1.0","    21.0","     0.0","    21.0","","    22.0"
"Elektriciteit","1989","     1.0","    19.0","     1.3","    18.0","","    19.0"
"Elektriciteit","1990","","    34.8","     1.7","    33.0","","    31.3"
"Elektriciteit","1991","","    35.2","     2.2","    33.0","","    31.2"
"Elektriciteit","1992","","    32.1","     0.8","    31.0","","    27.6"
"Elektriciteit","1993","","    38.1","     1.0","    37.0","","    34.5"
"Elektriciteit","1994","","    39.1","     1.0","    38.0","","    37.9"
"Elektriciteit","1995","","    43.1","     2.1","    41.0","","    37.8"
"Elektriciteit","1996","","    40.6","     2.5","    38.0","","    36.3"
"Elektriciteit","1997","","    47.2","     1.7","    45.0","","    44.3"
"Elektriciteit","1998","","    44.0","     1.5","    43.0","","    40.1"
"Elektriciteit","1999","","    80.7","    14.3","    66.0","","    64.3"
"Elektriciteit","2000","","    82.6","    14.5","    68.0","","    64.8"
"Elektriciteit","2001","","    77.4","    15.2","    62.0","","    58.8"
"Elektriciteit","2002","","    75.1","    16.2","    59.0","","    55.9"
"Elektriciteit","2003","","    74.9","    13.7","    61.0","","    58.9"
"Elektriciteit","2004","","    77.1","    18.7","    58.0","","    53.3"
"Elektriciteit","2005","","    85.3","    19.4","    66.0","","    66.7"
"Elektriciteit","2006","","    98.4","    21.2","    77.0","","    74.5"
"Elektriciteit","2007","","    83.1","    19.7","    63.0","","    60.7"
"Elektriciteit","2008","","    89.9","    32.8","    57.0","","    54.9"
"Elektriciteit","2009","","    55.6","    38.0","    18.0","","    19.0"
"Elektriciteit","2010","","    56.1","    46.1","    10.0","","    11.2"
"Elektriciteit","2011","","    74.2","    41.5","    33.0","","    31.5"
"Elektriciteit","2012","","   115.8","    54.2","    62.0","","    53.7"
"Elektriciteit","2013","","   119.7","    54.1","    66.0","","    64.3"
"Elektriciteit","2014","","   118.3","    65.3","    53.0","","    49.3"
"Elektriciteit","2015","","   110.7","    79.2","    31.0","","    35.4"
"Elektriciteit","2016","","    87.3","    69.6","    18.0","","    23.0"
"Elektriciteit","2017**","","    80.8","    68.2","    13.0","","    12.2"
"Warmte","1946","       .","","","","","       ."
"Warmte","1947","       .","","","","","       ."
"Warmte","1948","       .","","","","","       ."
"Warmte","1949","       .","","","","","       ."
"Warmte","1950","       .","","","","","       ."
"Warmte","1951","       .","","","","","       ."
"Warmte","1952","       .","","","","","       ."
"Warmte","1953","       .","","","","","       ."
"Warmte","1954","       .","","","","","       ."
"Warmte","1955","       .","","","","","       ."
"Warmte","1956","       .","","","","","       ."
"Warmte","1957","       .","","","","","       ."
"Warmte","1958","       .","","","","","       ."
"Warmte","1959","       .","","","","","       ."
"Warmte","1960","       .","","","","","       ."
"Warmte","1961","       .","","","","","       ."
"Warmte","1962","       .","","","","","       ."
"Warmte","1963","       .","","","","","       ."
"Warmte","1964","       .","","","","","       ."
"Warmte","1965","       .","","","","","       ."
"Warmte","1966","       .","","","","","       ."
"Warmte","1967","       .","","","","","       ."
"Warmte","1968","       .","","","","","       ."
"Warmte","1969","       .","","","","","       ."
"Warmte","1970","    15.0","","","","","    15.0"
"Warmte","1971","    18.0","","","","","    18.0"
"Warmte","1972","    20.0","","","","","    20.0"
"Warmte","1973","    23.0","","","","","    23.0"
"Warmte","1974","    26.0","","","","","    26.0"
"Warmte","1975","    28.0","","","","","    28.0"
"Warmte","1976","    33.0","","","","","    33.0"
"Warmte","1977","    35.0","","","","","    35.0"
"Warmte","1978","    42.0","","","","","    42.0"
"Warmte","1979","    43.0","","","","","    43.0"
"Warmte","1980","    40.0","","","","","    41.0"
"Warmte","1981","    39.0","","","","","    39.0"
"Warmte","1982","    37.0","","","","","    37.0"
"Warmte","1983","    35.0","","","","","    35.0"
"Warmte","1984","    35.0","","","","","    35.0"
"Warmte","1985","    36.0","","","","","    36.0"
"Warmte","1986","    35.0","","","","","    35.0"
"Warmte","1987","    38.0","","","","","    37.0"
"Warmte","1988","    42.0","","","","","    42.0"
"Warmte","1989","    35.0","","","","","    35.0"
"Warmte","1990","","","","","",""
"Warmte","1991","","","","","",""
"Warmte","1992","","","","","",""
"Warmte","1993","","","","","",""
"Warmte","1994","","","","","",""
"Warmte","1995","","","","","",""
"Warmte","1996","","","","","",""
"Warmte","1997","","","","","",""
"Warmte","1998","","","","","",""
"Warmte","1999","","","","","",""
"Warmte","2000","","","","","",""
"Warmte","2001","","","","","",""
"Warmte","2002","","","","","",""
"Warmte","2003","","","","","",""
"Warmte","2004","","","","","",""
"Warmte","2005","","","","","",""
"Warmte","2006","","","","","",""
"Warmte","2007","","","","","",""
"Warmte","2008","","","","","",""
"Warmte","2009","","","","","",""
"Warmte","2010","","","","","",""
"Warmte","2011","","","","","",""
"Warmte","2012","","","","","",""
"Warmte","2013","","","","","",""
"Warmte","2014","","","","","",""
"Warmte","2015","","","","","",""
"Warmte","2016","","","","","",""
"Warmte","2017**","","","","","",""
"Totaal overige energiedragers","1946","       .","       .","       .","       .","","       ."
"Totaal overige energiedragers","1947","       .","       .","       .","       .","","       ."
"Totaal overige energiedragers","1948","       .","       .","       .","       .","","       ."
"Totaal overige energiedragers","1949","       .","       .","       .","       .","","       ."
"Totaal overige energiedragers","1950","       .","       .","       .","       .","","       ."
"Totaal overige energiedragers","1951","       .","       .","       .","       .","","       ."
"Totaal overige energiedragers","1952","       .","       .","       .","       .","","       ."
"Totaal overige energiedragers","1953","       .","       .","       .","       .","","       ."
"Totaal overige energiedragers","1954","       .","       .","       .","       .","","       ."
"Totaal overige energiedragers","1955","       .","       .","       .","       .","","       ."
"Totaal overige energiedragers","1956","       .","       .","       .","       .","","       ."
"Totaal overige energiedragers","1957","       .","       .","       .","       .","","       ."
"Totaal overige energiedragers","1958","       .","       .","       .","       .","","       ."
"Totaal overige energiedragers","1959","       .","       .","       .","       .","","       ."
"Totaal overige energiedragers","1960","       .","       .","       .","       .","","       ."
"Totaal overige energiedragers","1961","       .","       .","       .","       .","","       ."
"Totaal overige energiedragers","1962","       .","       .","       .","       .","","       ."
"Totaal overige energiedragers","1963","       .","       .","       .","       .","","       ."
"Totaal overige energiedragers","1964","       .","       .","       .","       .","","       ."
"Totaal overige energiedragers","1965","       .","       .","       .","       .","","       ."
"Totaal overige energiedragers","1966","       .","       .","       .","       .","","       ."
"Totaal overige energiedragers","1967","       .","       .","       .","       .","","       ."
"Totaal overige energiedragers","1968","       .","       .","       .","       .","","       ."
"Totaal overige energiedragers","1969","       .","       .","       .","       .","","       ."
"Totaal overige energiedragers","1970","       .","       .","       .","       .","","       ."
"Totaal overige energiedragers","1971","       .","       .","       .","       .","","       ."
"Totaal overige energiedragers","1972","       .","       .","       .","       .","","       ."
"Totaal overige energiedragers","1973","       .","       .","       .","       .","","       ."
"Totaal overige energiedragers","1974","       .","       .","       .","       .","","       ."
"Totaal overige energiedragers","1975","       .","       .","       .","       .","","       ."
"Totaal overige energiedragers","1976","       .","       .","       .","       .","","       ."
"Totaal overige energiedragers","1977","       .","       .","       .","       .","","       ."
"Totaal overige energiedragers","1978","       .","       .","       .","       .","","       ."
"Totaal overige energiedragers","1979","       .","       .","       .","       .","","       ."
"Totaal overige energiedragers","1980","       .","       .","       .","       .","","       ."
"Totaal overige energiedragers","1981","       .","       .","       .","       .","","       ."
"Totaal overige energiedragers","1982","       .","","","","","       ."
"Totaal overige energiedragers","1983","       .","       .","       .","       .","","       ."
"Totaal overige energiedragers","1984","       .","       .","       .","       .","","       ."
"Totaal overige energiedragers","1985","       .","       .","       .","       .","","       ."
"Totaal overige energiedragers","1986","       .","       .","       .","       .","","       ."
"Totaal overige energiedragers","1987","       .","       .","       .","       .","","       ."
"Totaal overige energiedragers","1988","       .","       .","       .","       .","","       ."
"Totaal overige energiedragers","1989","       .","       .","       .","       .","","       ."
"Totaal overige energiedragers","1990","    52.8","       .","       .","       .","","    52.8"
"Totaal overige energiedragers","1991","    50.0","       .","       .","       .","","    50.0"
"Totaal overige energiedragers","1992","    61.0","       .","       .","       .","","    61.0"
"Totaal overige energiedragers","1993","    61.7","       .","       .","       .","","    61.7"
"Totaal overige energiedragers","1994","    61.4","       .","       .","       .","","    61.4"
"Totaal overige energiedragers","1995","    66.0","       .","       .","       .","","    66.0"
"Totaal overige energiedragers","1996","    71.2","       .","       .","       .","","    71.2"
"Totaal overige energiedragers","1997","    56.1","       .","       .","       .","","    56.1"
