"Energiedragers","Perioden","Energieaanbod/Winning (PJ)","Energieaanbod/Invoer (PJ)","Energieaanbod/Uitvoer (PJ)","Energieaanbod/Invoersaldo (PJ)","Energieaanbod/Bunkering (PJ)","Totaal energieverbruik (PJ)"
"Totaal energiedragers","2014","  2554.9","  9333.7","  8101.5","  1232.0","   689.8","  3039.7"
"Totaal energiedragers","2015","  2036.2"," 10272.2","  8445.1","  1827.0","   659.3","  3107.8"
"Totaal energiedragers","2016","  1958.5"," 10298.0","  8597.4","  1701.0","   660.2","  3139.2"
"Totaal energiedragers","2017**","  1776.0"," 10472.6","  8498.4","  1974.0","   655.9","  3150.6"
"Totaal kool en koolproducten","1946","   241.0","    94.0","    13.0","    81.0","     5.0","   305.0"
"Totaal kool en koolproducten","1947","   290.0","   115.0","    16.0","    99.0","     7.0","   367.0"
"Totaal kool en koolproducten","1948","   310.0","   112.0","    28.0","    85.0","     8.0","   392.0"
"Totaal kool en koolproducten","1949","   327.0","   131.0","    29.0","   102.0","    10.0","   417.0"
"Totaal kool en koolproducten","1950","   341.0","   153.0","    33.0","   120.0","    11.0","   456.0"
"Totaal kool en koolproducten","1951","   348.0","   175.0","    36.0","   139.0","    10.0","   474.0"
"Totaal kool en koolproducten","1952","   350.0","   180.0","    42.0","   138.0","     8.0","   462.0"
"Totaal kool en koolproducten","1953","   344.0","   178.0","    48.0","   129.0","     6.0","   473.0"
"Totaal kool en koolproducten","1954","   336.0","   236.0","    80.0","   156.0","     5.0","   485.0"
"Totaal kool en koolproducten","1955","   333.0","   263.0","    90.0","   174.0","     7.0","   493.0"
"Totaal kool en koolproducten","1956","   332.0","   288.0","    95.0","   193.0","     6.0","   513.0"
"Totaal kool en koolproducten","1957","   320.0","   289.0","    99.0","   190.0","     5.0","   474.0"
"Totaal kool en koolproducten","1958","   333.0","   230.0","    98.0","   132.0","     2.0","   450.0"
"Totaal kool en koolproducten","1959","   334.0","   214.0","   126.0","    88.0","     1.0","   426.0"
"Totaal kool en koolproducten","1960","   343.0","   231.0","   147.0","    84.0","     1.0","   444.0"
"Totaal kool en koolproducten","1961","   346.0","   230.0","   158.0","    72.0","     1.0","   425.0"
"Totaal kool en koolproducten","1962","   317.0","   283.0","   152.0","   131.0","","   453.0"
"Totaal kool en koolproducten","1963","   316.0","   320.0","   161.0","   159.0","","   473.0"
"Totaal kool en koolproducten","1964","   315.0","   289.0","   155.0","   134.0","","   427.0"
"Totaal kool en koolproducten","1965","   314.0","   222.0","   157.0","    66.0","","   371.0"
"Totaal kool en koolproducten","1966","   276.0","   207.0","   135.0","    72.0","","   338.0"
"Totaal kool en koolproducten","1967","   221.0","   215.0","   137.0","    78.0","","   325.0"
"Totaal kool en koolproducten","1968","   182.0","   232.0","   126.0","   105.0","","   308.0"
"Totaal kool en koolproducten","1969","   152.0","   205.0","   102.0","   103.0","","   262.0"
"Totaal kool en koolproducten","1970","   119.0","   168.0","    90.0","    78.0","","   192.0"
"Totaal kool en koolproducten","1971","    99.0","   131.0","    82.0","    49.0","","   145.0"
"Totaal kool en koolproducten","1972","    77.0","   121.0","    88.0","    32.0","","   124.0"
"Totaal kool en koolproducten","1973","    47.0","   134.0","    72.0","    62.0","","   126.0"
"Totaal kool en koolproducten","1974","    21.0","   149.0","    52.0","    97.0","","   120.0"
"Totaal kool en koolproducten","1975","","   131.0","    21.0","   110.0","","   101.0"
"Totaal kool en koolproducten","1976","","   149.0","    22.0","   127.0","","   126.0"
